1,1,100
1,1,
2,5,
3,15,
4,34,
5,65,
6,111,
7,175,
8,260,
9,369,
10,505,
11,671,
12,870,
13,1105,
14,1379,
15,1695,
16,2056,
17,2465,
18,2925,
19,3439,
20,4010,
21,4641,
22,5335,
23,6095,
24,6924,
25,7825,
26,8801,
27,9855,
28,10990,
29,12209,
30,13515,
31,14911,
32,16400,
33,17985,
34,19669,
35,21455,
36,23346,
37,25345,
38,27455,
39,29679,
40,32020,
41,34481,
42,37065,
43,39775,
44,42614,
45,45585,
46,48691,
47,51935,
48,55320,
49,58849,
50,62525,
51,66351,
52,70330,
53,74465,
54,78759,
55,83215,
56,87836,
57,92625,
58,97585,
59,102719,
60,108030,
61,113521,
62,119195,
63,125055,
64,131104,
65,137345,
66,143781,
67,150415,
68,157250,
69,164289,
70,171535,
71,178991,
72,186660,
73,194545,
74,202649,
75,210975,
76,219526,
77,228305,
78,237315,
79,246559,
80,256040,
81,265761,
82,275725,
83,285935,
84,296394,
85,307105,
86,318071,
87,329295,
88,340780,
89,352529,
90,364545,
91,376831,
92,389390,
93,402225,
94,415339,
95,428735,
96,442416,
97,456385,
98,470645,
99,485199,
100,500050,
